comparator,group,year_blocks,delta_RMSE_C,CI95_low_C,CI95_high_C
M15_13P5,MaySep,6,-0.024957064306716514,-0.03787193012701007,-0.014100519188651702
M15_13P8,MaySep,6,-0.03028214610269453,-0.045993372248687235,-0.017091527322119156
M15_13P5,DTR_GE15_FORMAL,5,0.02023887355612697,0.007630574783341615,0.036477993441721424
M15_13P8,DTR_GE15_FORMAL,5,0.01891010292465367,0.006317889612025063,0.03143999382998814
