simulation_id,candidate_id,source_manifest,source_path,source_experiment,source,source_class,source_pool,sampling_method,seed,observation_independent,observed_directed,observed_directed_evidence,parameterization,parameter_dim,parameter_vector_available,parameter_vector_hash,parameter_vector_hash_computed,parameter_vector_path,feature_root,qsim_path,qsim_available,qsim_period,qsim_rows,qsim_sha256,objective_available,status,physical_swat_run,validation_or_final_data_touched,development_only,validation_touched,final_test_touched,contains_locked_validation,contains_final_test,paper_contamination,usable_for_A1_A2,usable_for_A1,usable_for_A2,study_area,swat_revision,record_kind,notes
DEEPCAL100-SOBOL-0001,DEEPCAL100-SOBOL-0001,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,formal_500_handoff_corrected,sobol_new,broad,broad,sobol_new,42,YES,NO,none; Sobol design source,current_14d,14,YES,35a80f52b3ebe3bb925f751a21c34850085991431b5593f250546a7864926fa2,35a80f52b3ebe3bb925f751a21c34850085991431b5593f250546a7864926fa2,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0001\parameter_vector.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0001,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0001\development_q.csv,YES,2003-01-01/2016-12-31,5114,4952bd14417ab8ab8776901c74032b029b44849da88799fc9f491583d6c2f23b,YES,COMPLETE,LEGACY_STANDARDIZED,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,A_SOUTH_BRANCH_POTOMAC,62,standardized_candidate,Sobol design is independent of observed discharge
DEEPCAL100-SOBOL-0002,DEEPCAL100-SOBOL-0002,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,formal_500_handoff_corrected,sobol_new,broad,broad,sobol_new,42,YES,NO,none; Sobol design source,current_14d,14,YES,bd60d8ea12b1cc36cc18cd20d1106d681fc785dc2ec43016701100eb0c10ab1f,bd60d8ea12b1cc36cc18cd20d1106d681fc785dc2ec43016701100eb0c10ab1f,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0002\parameter_vector.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0002,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0002\development_q.csv,YES,2003-01-01/2016-12-31,5114,2293b73a4b7233251e0843b3e980689115eef67bc0097c18d03994fc9af3cc99,YES,COMPLETE,LEGACY_STANDARDIZED,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,A_SOUTH_BRANCH_POTOMAC,62,standardized_candidate,Sobol design is independent of observed discharge
DEEPCAL100-SOBOL-0003,DEEPCAL100-SOBOL-0003,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,formal_500_handoff_corrected,sobol_new,broad,broad,sobol_new,42,YES,NO,none; Sobol design source,current_14d,14,YES,b6d31be6643902525b248f80a6053983be412ae91504546e6dc8cb3104839ab1,b6d31be6643902525b248f80a6053983be412ae91504546e6dc8cb3104839ab1,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0003\parameter_vector.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0003,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0003\development_q.csv,YES,2003-01-01/2016-12-31,5114,073faf3b9add2bfe6de93bb870d4e282d29c4c784912ff1425560c47d39f03c1,YES,COMPLETE,LEGACY_STANDARDIZED,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,A_SOUTH_BRANCH_POTOMAC,62,standardized_candidate,Sobol design is independent of observed discharge
DEEPCAL100-SOBOL-0004,DEEPCAL100-SOBOL-0004,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,formal_500_handoff_corrected,sobol_new,broad,broad,sobol_new,42,YES,NO,none; Sobol design source,current_14d,14,YES,9eca57d76e4340c5fe99676221f55d64f2ecb16fa13ac7404c6c8aa35568eff4,9eca57d76e4340c5fe99676221f55d64f2ecb16fa13ac7404c6c8aa35568eff4,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0004\parameter_vector.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0004,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0004\development_q.csv,YES,2003-01-01/2016-12-31,5114,270574ba2e7008bbee3e0916ae9bc644cb7c95e50f3698c65e31180de396982f,YES,COMPLETE,LEGACY_STANDARDIZED,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,A_SOUTH_BRANCH_POTOMAC,62,standardized_candidate,Sobol design is independent of observed discharge
DEEPCAL100-SOBOL-0005,DEEPCAL100-SOBOL-0005,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,formal_500_handoff_corrected,sobol_new,broad,broad,sobol_new,42,YES,NO,none; Sobol design source,current_14d,14,YES,bd625a14f94ea086876c138c64597c7aca3c90d8dc97f4a864ed931a3e590387,bd625a14f94ea086876c138c64597c7aca3c90d8dc97f4a864ed931a3e590387,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0005\parameter_vector.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0005,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0005\development_q.csv,YES,2003-01-01/2016-12-31,5114,fbc3e56570c945ac8b9a12a2e17f9ce53907d2d169cf47365acac7032f98d1a7,YES,COMPLETE,LEGACY_STANDARDIZED,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,A_SOUTH_BRANCH_POTOMAC,62,standardized_candidate,Sobol design is independent of observed discharge
DEEPCAL100-SOBOL-0006,DEEPCAL100-SOBOL-0006,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,formal_500_handoff_corrected,sobol_new,broad,broad,sobol_new,42,YES,NO,none; Sobol design source,current_14d,14,YES,b4259268e24d24b965355a27b20f6ded27926cc15dfc6f74f3e792480ea1cea7,b4259268e24d24b965355a27b20f6ded27926cc15dfc6f74f3e792480ea1cea7,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0006\parameter_vector.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0006,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0006\development_q.csv,YES,2003-01-01/2016-12-31,5114,3153e29c3ab83d205972017d9767bdc7fedbdeb82a5fd1cd5429e616d52d180f,YES,COMPLETE,LEGACY_STANDARDIZED,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,A_SOUTH_BRANCH_POTOMAC,62,standardized_candidate,Sobol design is independent of observed discharge
DEEPCAL100-SOBOL-0007,DEEPCAL100-SOBOL-0007,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,formal_500_handoff_corrected,sobol_new,broad,broad,sobol_new,42,YES,NO,none; Sobol design source,current_14d,14,YES,44778cc904ffc8ab2f71628adf4f4b2844794b5f6527df3d7aa69f39e3c99216,44778cc904ffc8ab2f71628adf4f4b2844794b5f6527df3d7aa69f39e3c99216,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0007\parameter_vector.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0007,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0007\development_q.csv,YES,2003-01-01/2016-12-31,5114,40a1ee1ab3cb2f63e1ad29af935e0576aad87e6fe26f3716b78799bf68109ef6,YES,COMPLETE,LEGACY_STANDARDIZED,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,A_SOUTH_BRANCH_POTOMAC,62,standardized_candidate,Sobol design is independent of observed discharge
DEEPCAL100-SOBOL-0008,DEEPCAL100-SOBOL-0008,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,formal_500_handoff_corrected,sobol_new,broad,broad,sobol_new,42,YES,NO,none; Sobol design source,current_14d,14,YES,59748ad1fd9083e900098219c925b96e6fee861a4fe6b55ecade7f3344c55e04,59748ad1fd9083e900098219c925b96e6fee861a4fe6b55ecade7f3344c55e04,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0008\parameter_vector.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0008,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0008\development_q.csv,YES,2003-01-01/2016-12-31,5114,5d1efa9f15f2d7736d7fee3f1ad9aca49e8ba5c689bb3c43bfde5bff72d9164d,YES,COMPLETE,LEGACY_STANDARDIZED,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,A_SOUTH_BRANCH_POTOMAC,62,standardized_candidate,Sobol design is independent of observed discharge
DEEPCAL100-SOBOL-0009,DEEPCAL100-SOBOL-0009,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,formal_500_handoff_corrected,sobol_new,broad,broad,sobol_new,42,YES,NO,none; Sobol design source,current_14d,14,YES,3efd2594c7199c0a6a0715626fdc501ebcbe3b77a88c0a2c0a50741561da11fe,3efd2594c7199c0a6a0715626fdc501ebcbe3b77a88c0a2c0a50741561da11fe,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0009\parameter_vector.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0009,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0009\development_q.csv,YES,2003-01-01/2016-12-31,5114,d37b91e80da64e48b214e4eca362d022270ddefd41235491b181771e8ec0588b,YES,COMPLETE,LEGACY_STANDARDIZED,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,A_SOUTH_BRANCH_POTOMAC,62,standardized_candidate,Sobol design is independent of observed discharge
DEEPCAL100-SOBOL-0010,DEEPCAL100-SOBOL-0010,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,formal_500_handoff_corrected,sobol_new,broad,broad,sobol_new,42,YES,NO,none; Sobol design source,current_14d,14,YES,5451498cd18a8c48dbda3ed26000f27cbe584e7b78e6792e26ec3ca1f6dfefb2,5451498cd18a8c48dbda3ed26000f27cbe584e7b78e6792e26ec3ca1f6dfefb2,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0010\parameter_vector.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0010,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0010\development_q.csv,YES,2003-01-01/2016-12-31,5114,01682a6ef26acca0b76b9e6e850681ed58f59f0281877a535d8f3f8e037971b8,YES,COMPLETE,LEGACY_STANDARDIZED,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,A_SOUTH_BRANCH_POTOMAC,62,standardized_candidate,Sobol design is independent of observed discharge
DEEPCAL100-SOBOL-0011,DEEPCAL100-SOBOL-0011,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,formal_500_handoff_corrected,sobol_new,broad,broad,sobol_new,42,YES,NO,none; Sobol design source,current_14d,14,YES,c0fc796f6edfc7b57727236862e70ed673ec7442d5df11273271a6bc747cb5e4,c0fc796f6edfc7b57727236862e70ed673ec7442d5df11273271a6bc747cb5e4,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0011\parameter_vector.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0011,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0011\development_q.csv,YES,2003-01-01/2016-12-31,5114,9cd2119f341a57c51d967736b36ea193717ba8426d71cdfcc29c27e0717cf613,YES,COMPLETE,LEGACY_STANDARDIZED,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,A_SOUTH_BRANCH_POTOMAC,62,standardized_candidate,Sobol design is independent of observed discharge
DEEPCAL100-SOBOL-0012,DEEPCAL100-SOBOL-0012,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,formal_500_handoff_corrected,sobol_new,broad,broad,sobol_new,42,YES,NO,none; Sobol design source,current_14d,14,YES,43c7749eb032329123921763e5ed986c96b08a0c4e027d7f8c774d6c440f880f,43c7749eb032329123921763e5ed986c96b08a0c4e027d7f8c774d6c440f880f,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0012\parameter_vector.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0012,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0012\development_q.csv,YES,2003-01-01/2016-12-31,5114,c3f7b6d2a08a955d19440166988ead9c728b748ddaa8df13c1416c1ca84d06dd,YES,COMPLETE,LEGACY_STANDARDIZED,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,A_SOUTH_BRANCH_POTOMAC,62,standardized_candidate,Sobol design is independent of observed discharge
DEEPCAL100-SOBOL-0013,DEEPCAL100-SOBOL-0013,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,formal_500_handoff_corrected,sobol_new,broad,broad,sobol_new,42,YES,NO,none; Sobol design source,current_14d,14,YES,6e3d827ccd48e528dfe62c782abe1b2663e9c29ecc146c799cad3aa9c5db4b49,6e3d827ccd48e528dfe62c782abe1b2663e9c29ecc146c799cad3aa9c5db4b49,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0013\parameter_vector.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0013,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0013\development_q.csv,YES,2003-01-01/2016-12-31,5114,9c66b71581c7036d3260e2307f832228ad41bbebea42952692d88aa79deec4d7,YES,COMPLETE,LEGACY_STANDARDIZED,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,A_SOUTH_BRANCH_POTOMAC,62,standardized_candidate,Sobol design is independent of observed discharge
DEEPCAL100-SOBOL-0014,DEEPCAL100-SOBOL-0014,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,formal_500_handoff_corrected,sobol_new,broad,broad,sobol_new,42,YES,NO,none; Sobol design source,current_14d,14,YES,d90846c8cdfcba65f3ce9f336293187fa2af1484f7a58d42ca17cb379d3eefcd,d90846c8cdfcba65f3ce9f336293187fa2af1484f7a58d42ca17cb379d3eefcd,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0014\parameter_vector.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0014,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0014\development_q.csv,YES,2003-01-01/2016-12-31,5114,79a1f8fd0e628edb57318a6fdc24bb1ff132496bd420a8a682ce50201322ba9c,YES,COMPLETE,LEGACY_STANDARDIZED,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,A_SOUTH_BRANCH_POTOMAC,62,standardized_candidate,Sobol design is independent of observed discharge
DEEPCAL100-SOBOL-0015,DEEPCAL100-SOBOL-0015,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,formal_500_handoff_corrected,sobol_new,broad,broad,sobol_new,42,YES,NO,none; Sobol design source,current_14d,14,YES,a35da15e416c9a7263d1bb7ea64975e727217d7efed786bc68e42f8877f91e7b,a35da15e416c9a7263d1bb7ea64975e727217d7efed786bc68e42f8877f91e7b,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0015\parameter_vector.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0015,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0015\development_q.csv,YES,2003-01-01/2016-12-31,5114,b75cfd7c8173e3dfe6ce4bffe237eaf6b16d5a0d0aeefecc698826e77b05c99b,YES,COMPLETE,LEGACY_STANDARDIZED,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,A_SOUTH_BRANCH_POTOMAC,62,standardized_candidate,Sobol design is independent of observed discharge
DEEPCAL100-SOBOL-0016,DEEPCAL100-SOBOL-0016,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,formal_500_handoff_corrected,sobol_new,broad,broad,sobol_new,42,YES,NO,none; Sobol design source,current_14d,14,YES,f3534285dfb2f941b8aa08ab47a301bdec86065f3e6a76b2dd8bc8f5f3eb9589,f3534285dfb2f941b8aa08ab47a301bdec86065f3e6a76b2dd8bc8f5f3eb9589,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0016\parameter_vector.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0016,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0016\development_q.csv,YES,2003-01-01/2016-12-31,5114,a4ede1d8350b41e444b08faead916095721c10ca1b38338d978fd6f03c5241a9,YES,COMPLETE,LEGACY_STANDARDIZED,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,A_SOUTH_BRANCH_POTOMAC,62,standardized_candidate,Sobol design is independent of observed discharge
DEEPCAL100-SOBOL-0017,DEEPCAL100-SOBOL-0017,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\high_throughput_runner_v2\formal_500_handoff_corrected\manifest.json,formal_500_handoff_corrected,sobol_new,broad,broad,sobol_new,42,YES,NO,none; Sobol design source,current_14d,14,YES,2adeb11a52f94016a479d6cbb67871075bdcfd21d3dd8d87bb3e41e1ea2b955a,2adeb11a52f94016a479d6cbb67871075bdcfd21d3dd8d87bb3e41e1ea2b955a,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0017\parameter_vector.json,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0017,D:\SWAT+_3V3\A_SouthBranchPotomac\DEEP_CAL_SWAT\04_real_swat_runs\standardized_smoke_100_seed_42\features\DEEPCAL100-SOBOL-0017\development_q.csv,YES,2003-01-01/2016-12-31,5114,0ace79ccbc8ce8f9b30389a59f056b2dd917787c3bf7138e47fce6ddfdcdcb00,YES,COMPLETE,LEGACY_STANDARDIZED,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,A_SOUTH_BRANCH_POTOMAC,62,standardized_candidate,Sobol design is independent of observed discharge
